# Chapter 10 internal structure
F4C10_CON_01,F4C10_SKILL_01,prerequisite,Understand definition and usage of index numbers.
F4C10_CON_02,F4C10_SKILL_02,prerequisite,Compute index using standard formula.
F4C10_CON_03,F4C10_SKILL_03,prerequisite,Interpretation based on value relative to 100.
F4C10_CON_02,F4C10_SKILL_04,prerequisite,Manipulate formula to find base or current values.
F4C10_CON_05,F4C10_SKILL_05,prerequisite,Use chained relationships among different base years.
F4C10_CON_02,F4C10_SKILL_06,contains,Apply formula in contextual scenarios.
F4C10_CON_06,F4C10_SKILL_07,prerequisite,Understand concept of combining several indices.
F4C10_CON_07,F4C10_SKILL_08,prerequisite,Compute composite index without weightage.
F4C10_CON_07,F4C10_SKILL_09,prerequisite,Compute composite index with given weights.
F4C10_CON_08,F4C10_SKILL_10,prerequisite,Interpret effect of different weightages.
F4C10_CON_09,F4C10_SKILL_09,related_to,Compare weighted vs unweighted composite indices.
F4C10_CON_10,F4C10_SKILL_11,contains,Use indices to solve multi-variable real-world problems.
F4C10_CON_10,F4C10_SKILL_12,contains,Link to national economic indicators such as CPI or productivity.

# Cross-chapter strong links
F4C5_CON_18,F4C10_CON_02,related_to,Exponential growth/decay parallels index-number percentage change.
F4C6_CON_05,F4C10_CON_02,related_to,Gradient/rate interpretation supports understanding of change rate in index.
F4C7_CON_15,F4C10_CON_02,related_to,Ratio formula logic parallels distance/gradient formulas.
F4C8_CON_16,F4C10_CON_07,related_to,Weighted sum resembles vector resultant using components.
F4C9_CON_09,F4C10_CON_07,related_to,Area weighted average analogy similar to composite index.
source_id,target_id,relation,description
,,,
F4C2_CON_01,F4C2_CON_03,prerequisite,General form underpins completing the square.
F4C2_CON_03,F4C2_CON_04,related_to,Quadratic formula derived via completing square.
F4C2_CON_01,F4C2_CON_05,contains,Vieta relations come from general form.
F4C2_CON_05,F4C2_CON_06,contains,Forming equation from given roots uses Vieta.
F4C2_CON_01,F4C2_CON_11,contains,Discriminant defined for ax^2+bx+c=0.
F4C2_CON_11,F4C2_CON_12,prerequisite,D determines types of roots.
F4C2_CON_12,F4C2_CON_26,prerequisite,Types of roots control x-axis intersection count.
F4C2_CON_07,F4C2_CON_08,contains,Graph method is one approach to inequalities.
F4C2_CON_07,F4C2_CON_09,contains,Number line method is one approach to inequalities.
F4C2_CON_07,F4C2_CON_10,contains,Sign table method is one approach to inequalities.
F4C2_CON_14,F4C2_CON_15,contains,Shape/orientation property of quadratic functions.
F4C2_CON_14,F4C2_CON_16,contains,Axis of symmetry for general form.
F4C2_CON_14,F4C2_CON_17,contains,Vertex for general form.
F4C2_CON_14,F4C2_CON_18,related_to,Intercept form equivalent representation.
F4C2_CON_14,F4C2_CON_19,related_to,Vertex form equivalent representation.
F4C2_CON_14,F4C2_CON_20,contains,Effect of parameter a in general form.
F4C2_CON_14,F4C2_CON_21,contains,Effect of parameter b in general form.
F4C2_CON_14,F4C2_CON_22,contains,Effect of parameter c in general form.
F4C2_CON_19,F4C2_CON_23,contains,Effect of a in vertex form.
F4C2_CON_19,F4C2_CON_24,contains,Effect of h in vertex form.
F4C2_CON_19,F4C2_CON_25,contains,Effect of k in vertex form.
F4C2_CON_11,F4C2_CON_30,prerequisite,D<0 conditions for always positive/negative.
F4C2_CON_29,F4C2_CON_18,related_to,Converting may yield intercept form if real roots exist.
F4C2_CON_29,F4C2_CON_19,related_to,Converting between vertex/general.
F4C2_CON_27,F4C2_CON_28,related_to,Sketching supports applications and modelling.
F4C2_CON_03,F4C2_SKILL_01,prerequisite,Understand completing square to solve.
F4C2_CON_04,F4C2_SKILL_02,prerequisite,Know formula to apply correctly.
F4C2_CON_06,F4C2_SKILL_03,prerequisite,Equation formation from roots.
F4C2_CON_05,F4C2_SKILL_04,prerequisite,Vieta enables root transformations.
F4C2_CON_11,F4C2_SKILL_05,prerequisite,Definition of discriminant.
F4C2_CON_12,F4C2_SKILL_06,prerequisite,Mapping D to root types.
F4C2_CON_13,F4C2_SKILL_07,prerequisite,Use D inequalities to bound parameters.
F4C2_CON_08,F4C2_SKILL_08,prerequisite,Graph approach to inequalities.
F4C2_CON_09,F4C2_SKILL_09,prerequisite,Number line approach.
F4C2_CON_10,F4C2_SKILL_10,prerequisite,Sign table approach.
F4C2_CON_29,F4C2_SKILL_11,prerequisite,Complete square to convert.
F4C2_CON_19,F4C2_SKILL_12,prerequisite,Expand vertex form.
F4C2_CON_18,F4C2_SKILL_13,prerequisite,Factor to intercept form where possible.
F4C2_CON_16,F4C2_SKILL_14,prerequisite,Axis formula.
F4C2_CON_17,F4C2_SKILL_15,prerequisite,Vertex computation.
F4C2_CON_18,F4C2_SKILL_16,prerequisite,x-intercepts are roots.
F4C2_CON_14,F4C2_SKILL_17,prerequisite,y-intercept from c.
F4C2_CON_27,F4C2_SKILL_18,prerequisite,Workflow for sketching.
F4C2_CON_20,F4C2_SKILL_19,prerequisite,"Effect of a,b,c in general form."
F4C2_CON_23,F4C2_SKILL_20,prerequisite,"Effect of a,h,k in vertex form."
F4C2_CON_28,F4C2_SKILL_21,prerequisite,Context of applications.
F4C2_CON_19,F4C2_SKILL_22,prerequisite,Use vertex for optimisation.
F4C2_CON_02,F4C2_SKILL_23,prerequisite,Interpret roots in context.
F4C2_CON_14,F4C2_SKILL_24,prerequisite,Model constraints/domain awareness.
F4C2_CON_03,F4C2_SKILL_25,prerequisite,Derive quadratic formula by completing square.
F4C2_SKILL_11,F4C2_SKILL_22,related_to,Vertex via conversion helps optimisation.
F4C2_SKILL_05,F4C2_SKILL_06,related_to,Compute D then classify roots.
F4C2_SKILL_06,F4C2_SKILL_08,related_to,Root types inform sign of quadratic on intervals.
F4C3_CON_01,F4C3_CON_02,contains,Each linear equation corresponds to a plane.
F4C3_CON_02,F4C3_CON_03,prerequisite,Plane intersections generate solutions.
F4C3_CON_03,F4C3_CON_04,contains,Single-point intersection implies unique solution.
F4C3_CON_03,F4C3_CON_05,contains,Line of intersection implies infinite solutions.
F4C3_CON_03,F4C3_CON_06,contains,No common intersection implies no solution.
F4C3_CON_08,F4C3_CON_10,contains,Elimination relies on coefficient alignment.
F4C3_CON_08,F4C3_CON_12,related_to,Elimination may reveal contradictions.
F4C3_CON_05,F4C3_CON_11,prerequisite,Infinite solutions require parameterisation.
F4C3_CON_01,F4C3_CON_13,contains,Many contexts map to 3-var systems.
F4C3_CON_01,F4C3_CON_14,related_to,Calculator/matrix methods support solving.
F4C3_CON_15,F4C3_CON_16,contains,Intersections of a line and a curve.
F4C3_CON_15,F4C3_CON_17,contains,Substitution approach for mixed systems.
F4C3_CON_17,F4C3_CON_19,prerequisite,Substitution yields quadratic in one variable.
F4C3_CON_19,F4C3_CON_20,contains,Discriminant governs number of real solutions.
F4C3_CON_21,F4C3_CON_25,related_to,Interpret solutions in units and context.
F4C3_CON_22,F4C3_CON_15,related_to,Rectangular models yield linear+quadratic pair.
F4C3_CON_23,F4C3_CON_15,related_to,Circle-line is a standard mixed system.
F4C3_CON_24,F4C3_CON_15,related_to,Other conics with line behave similarly.
F4C3_CON_01,F4C3_SKILL_01,prerequisite,Identify whether given equations form a 3-var linear system.
F4C3_CON_13,F4C3_SKILL_02,prerequisite,Translate words to equations.
F4C3_CON_10,F4C3_SKILL_03,prerequisite,Plan scaling for elimination.
