 ,concept,,,The limiting process to find the instantaneous rate of change of a function.,F5C2_CON_01,Limit Concept
 ,concept,,,Limit of f(x) as x→a defines continuity and enables differentiation.,F5C2_CON_02,Limit and Continuity
 ,concept,,,Derivative defined as lim(h→0) [f(x+h)-f(x)]/h.,F5C2_CON_03,Derivative (First Principle)
 ,concept,,,Notation: dy/dx, f′(x), y′ all represent the derivative of y with respect to x.,F5C2_CON_04,Differentiation Notation
 ,concept,,,Derivative of ax^n is n a x^{n-1} for integer n.,F5C2_CON_05,Power Rule
 ,concept,,,Derivative of sum/difference equals sum/difference of derivatives.,F5C2_CON_06,Sum/Difference Rule
 ,concept,,,Derivative of product of two functions u and v: (uv)′ = u′v + uv′.,F5C2_CON_07,Product Rule
 ,concept,,,Derivative of quotient: (u/v)′ = (v u′ − u v′)/v².,F5C2_CON_08,Quotient Rule
 ,concept,,,Derivative of composite functions using chain rule (dy/dx = dy/du × du/dx).,F5C2_CON_09,Chain Rule
 ,concept,,,Second derivative d²y/dx² is the derivative of first derivative.,F5C2_CON_10,Second Derivative
 ,concept,,,Interpretation of dy/dx as gradient of tangent and instantaneous rate of change.,F5C2_CON_11,Meaning of dy/dx
 ,concept,,,Equation of tangent and normal lines to a curve at point (x₁,y₁).,F5C2_CON_12,Tangent and Normal Equations
 ,concept,,,Turning points occur when dy/dx=0; their nature depends on d²y/dx².,F5C2_CON_13,Turning Points
 ,concept,,,Maxima and minima determined using first and second derivative tests.,F5C2_CON_14,Maxima and Minima
 ,concept,,,Related rates: one variable changes with respect to another over time.,F5C2_CON_15,Related Rates
 ,concept,,,Small changes and approximation: dy ≈ f′(x) dx for small dx.,F5C2_CON_16,Differentials and Approximation
 ,concept,,,Applications of derivatives in motion, economics, and physics.,F5C2_CON_17,Applications of Differentiation
,concept,,,If event counts multiply across sequential choices, total ways = product.,F5C4_CON_01,Multiplication Rule
,concept,,,For mutually exclusive cases, total ways = sum.,F5C4_CON_02,Addition Rule
,concept,,,Definition and algebra of n!; simplifications.,F5C4_CON_03,Factorial
,concept,,,Arrangements where order matters.,F5C4_CON_04,Permutation (Definition)
,concept,,,Linear permutations of n distinct items: n!.,F5C4_CON_05,Linear Permutations
,concept,,,Permutations nPr = n!/(n−r)!.,F5C4_CON_06,nPr Formula
,concept,,,Circular arrangements of n distinct items = (n−1)!.,F5C4_CON_07,Circular Permutations
,concept,,,Reflected circular arrangements counted once (÷2).,F5C4_CON_08,Bracelet/Reflection
,concept,,,Permutations with identical items = n!/(a!b!c!...).,F5C4_CON_09,Identical Object Permutations
,concept,,,Permutations with conditions (adjacent/separated/alternating).,F5C4_CON_10,Conditional Permutations
,concept,,,Forming numbers with digits under given rules.,F5C4_CON_11,Digit Constraints
,concept,,,Combinations where order does not matter.,F5C4_CON_12,Combination (Definition)
,concept,,,Formula nCr = n!/(r!(n−r)!).,F5C4_CON_13,nCr Formula
,concept,,,Binomial identities (nC0=1, nC1=n, nCr=nC(n−r)).,F5C4_CON_14,nCr Identities
,concept,,,Conditional selections (at least, at most, etc.).,F5C4_CON_15,Conditional Combinations
,concept,,,Partitioning into groups with multiplication rule.,F5C4_CON_16,Partitioning
,concept,,,Real-life modelling of arrangement/selection problems.,F5C4_CON_17,Applications
,concept,,,A statistical measure to show change of a variable in a given year relative to a base year (base=100).,F4C10_CON_01,Definition of Index Numbers
,concept,,,Computation of index numbers as 100 × (quantity or price in current year ÷ base year).,F4C10_CON_02,Formula of Index Numbers
,concept,,,Interpretation of index numbers greater than, equal to, or less than 100.,F4C10_CON_03,Interpretation of Index Numbers
,concept,,,Different types of index numbers used for prices, quantities, productivity, and other variables.,F4C10_CON_04,Types of Index Numbers
,concept,,,Solving problems using relationships among multiple base years (chain index).,F4C10_CON_05,Conversion Between Base Years
,concept,,,Definition and purpose of composite index as weighted combination of several indices.,F4C10_CON_06,Composite Index (Definition)
,concept,,,Formula of composite index: weighted mean of individual indices.,F4C10_CON_07,Composite Index Formula
,concept,,,Weightage represents the relative importance of items within a composite index.,F4C10_CON_08,Weightage Concept
,concept,,,Difference between composite index with and without weightage.,F4C10_CON_09,Composite Index Variants
,concept,,,Applications of index numbers in real life (inflation, cost of living, productivity).,F4C10_CON_10,Applications of Index Numbers
node_id,type,chapter,name,description,id,label
F4.FN.C01,concept,1.1,Definition of function,A relation where each element x in the domain maps to exactly one element y in the range.,,
,concept,,,Equation ax^2 + bx + c = 0 with a≠0; roots are x satisfying the equation.,F4C2_CON_01,Quadratic Equation (General Form)
,concept,,,x-coordinates where y=ax^2+bx+c intersects x-axis; solutions of quadratic equation.,F4C2_CON_02,Roots / Solutions
,concept,,,Rewrite ax^2+bx+c as a perfect square plus/minus constant to reveal vertex/solve.,F4C2_CON_03,Completing the Square (Concept)
,concept,,,x = [-b ± sqrt(b^2 - 4ac)] / (2a); derived via completing the square.,F4C2_CON_04,Quadratic Formula
,concept,,,For ax^2+bx+c=0: α+β=-b/a and αβ=c/a.,F4C2_CON_05,Sum & Product of Roots (Vieta)
,concept,,,If roots are p and q: x^2 - (p+q)x + pq = 0.,F4C2_CON_06,Forming Quadratic from Given Roots
