,skill,,,F5C2_SKILL_01,Compute Limit,Determine the limit of a function as variable approaches a value.
,skill,,,F5C2_SKILL_02,Apply First Principle,Use lim(h→0)[f(x+h)-f(x)]/h to derive f′(x).
,skill,,,F5C2_SKILL_03,Use Power Rule,Apply dy/dx = n a x^{n−1}.
,skill,,,F5C2_SKILL_04,Differentiate Polynomial/Sum,Find derivatives of simple and combined algebraic functions.
,skill,,,F5C2_SKILL_05,Use Product Rule,Apply (uv)′ = u′v + uv′ to algebraic expressions.
,skill,,,F5C2_SKILL_06,Use Quotient Rule,Apply (u/v)′ = (v u′ − u v′)/v².
,skill,,,F5C2_SKILL_07,Use Chain Rule,Find derivative of composite functions.
,skill,,,F5C2_SKILL_08,Compute Second Derivative,Differentiate f′(x) to get f″(x).
,skill,,,F5C2_SKILL_09,Interpret dy/dx,Explain meaning as rate of change or slope at a point.
,skill,,,F5C2_SKILL_10,Find Tangent and Normal,Compute gradient and form equations at given x₁.
,skill,,,F5C2_SKILL_11,Classify Turning Points,Use sign of d²y/dx² to classify maxima/minima.
,skill,,,F5C2_SKILL_12,Solve Optimization Problems,Find values maximizing/minimizing a quantity.
,skill,,,F5C2_SKILL_13,Compute Related Rates,Form chain rule relation between variables over time.
,skill,,,F5C2_SKILL_14,Approximate Small Changes,Use dy≈f′(x)dx to estimate small variations.
,skill,,,F5C2_SKILL_15,Apply Differentiation in Contexts,Solve physics/economic/application problems.
,skill,,,F4C10_SKILL_01,Define Index Numbers,Explain the meaning and purpose of index numbers in statistics and economics.
,skill,,,F4C10_SKILL_02,Compute Simple Index,Use I = (Q1/Q0) × 100 to find price/quantity index for one variable.
,skill,,,F4C10_SKILL_03,Interpret Index Numbers,Judge increase/decrease/no change based on whether index >, =, or < 100.
,skill,,,F4C10_SKILL_04,Find Base Year or Quantity,Rearrange I = (Q1/Q0)×100 to compute unknown base/current value.
,skill,,,F4C10_SKILL_05,Convert Between Base Years,Apply ratio relationships to find index across different bases.
,skill,,,F4C10_SKILL_06,Apply Index Numbers in Context,Use given data to model inflation, cost, productivity, or visitor count.
,skill,,,F4C10_SKILL_07,Define Composite Index,Explain how multiple individual indices combine to one overall index.
,skill,,,F4C10_SKILL_08,Compute Composite Index (Without Weight),Average given indices assuming equal importance.
